legacy_detail_id,order_no,defect_code,symptom,critical_rank,quantity
3d53db05,QC26051175,12308,สีไม่ตรง STD /Color off Standard,Minor,125
437b73f0,QC26051189,12349,เอียง/sloping,Minor,24
30f090ca,QC26051189,12309,จุดสี/color dot,Minor,4
b92900ad,QC26051189,12321,พลาสติกยื่น/scrap plastic,Minor,1
073daeb2,QC26051190,12346,คราบกาว/glue stains,Minor,4
987c4bd6,QC26051190,12309,จุดสี/color dot,Minor,2
b21e4ab4,QC26051190,12344,เคลือบไม่เต็ม/not fully coating,Minor,2
a7198f76,QC26051190,12301,รอยด่าง/stain spot,Minor,1
a681374f,QC26051191,12308,สีไม่ตรง STD /Color off Standard,Minor,287
c7d889d8,QC26051191,12315,ฟองอากาศ/Bubble,Minor,28
3c1521e4,QC26051192,12308,สีไม่ตรง STD /Color off Standard,Minor,193
c40804dd,QC26051192,12351,คราบน้ำ/water stains,Minor,4
