legacy_detail_id,order_no,defect_code,symptom,critical_rank,quantity
820c8ce8,QC26060052,"11007 , 12309","พิมพ์หนา/Printing too thick , จุดสี/color dot",Minor,4
3d484566,QC26060052,"11007 , 12367","พิมพ์หนา/Printing too thick , รอยกดทับ/Pressure marks",Minor,5
a8e8ef67,QC26060052,"11007 , 12341","พิมพ์หนา/Printing too thick , เปื้อนสี / stain color",Minor,3
b8f7680d,QC26060052,"12363 , 11007","พิมพ์หนา/Printing too thick , ตัดไม่ขาด/ผิวไม่เรียบ/Non-cutting surface / not smooth",Minor,2
e8cdbbe2,QC26060052,"11007 , 11010","พิมพ์แตก/Printing cracked , พิมพ์หนา/Printing too thick",Minor,1
f89c8b95,QC26060052,"11007 , 12310 , 12338","พิมพ์หนา/Printing too thick , ขาด / missing , ฝุ่น/Dust",Major,1
44ccbda4,QC26060053,12308,สีไม่ตรง STD /Color off Standard,Minor,594
10d6ff48,QC26060053,"12308 , 12130","สีไม่ตรง STD /Color off Standard , ปิดไม่สนิท",Minor,33
c2a500da,QC26060053,"12308 , 12321","พลาสติกยื่น/scrap plastic , สีไม่ตรง STD /Color off Standard",Minor,2
fd2aca16,QC26060053,"12308 , 12309","สีไม่ตรง STD /Color off Standard , จุดสี/color dot",Minor,1
448db388,QC26060054,12308,สีไม่ตรง STD /Color off Standard,Minor,630
0d73d527,QC26060057,12308,สีไม่ตรง STD /Color off Standard,Minor,176
a26f4094,QC26060057,"12308 , 12301","รอยด่าง/stain spot , สีไม่ตรง STD /Color off Standard",Minor,24
18213ffb,QC26060058,12305,บุบ/Dent,Minor,2
420dd29a,QC26060058,12327,รอยขีด/scratch mark,Minor,2
dca48f2b,QC26060058,11009,พิมพ์ถลอก/Printing Peel off,Major,4
fbb85c0d,QC26060058,12341,เปื้อนสี / stain color,Minor,4
63cc6e63,QC26060059,12310,ฝุ่น/Dust,Minor,21
d4e4ee5f,QC26060056,12318,รอยเส้น/Trace mark,Minor,29
ea901061,QC26060056,12309,จุดสี/color dot,Minor,7
26c1a6b7,QC26060056,12121,ฉีกขาด/torn off,Minor,10
612e7d2d,QC26060056,12304,ถลอก/Peel off,Minor,4
b930c398,QC26060073,12356,เส้นผม/hair,Critical,2
7270cc54,QC26060074,12322,แหว่ง/chip,Minor,3
646534a3,QC26060074,12339,ไม่เหมือน STD./ not same STD.,Minor,3
b244bfbb,QC26060074,12341,เปื้อนสี / stain color,Minor,2
097d0d03,QC26060074,12312,คราบสกปรก/Dirty,Minor,1
0e7a287f,QC26060075,12308,สีไม่ตรง STD /Color off Standard,Minor,200
6ec53907,QC26060076,12308,สีไม่ตรง STD /Color off Standard,Minor,746
a36a921a,QC26060076,"12122 , 12308","ยับ/Wrinkle , สีไม่ตรง STD /Color off Standard",Minor,43
e0944ec1,QC26060076,"11010 , 12308","พิมพ์แตก/Printing cracked , สีไม่ตรง STD /Color off Standard",Minor,2
cf021326,QC26060076,12312,คราบสกปรก/Dirty,Minor,2
6622c421,QC26060077,12308,สีไม่ตรง STD /Color off Standard,Minor,200
d5f210ff,QC26060078,12308,สีไม่ตรง STD /Color off Standard,Minor,200
0ac9d447,QC26060079,12308,สีไม่ตรง STD /Color off Standard,Minor,200
4b5b8caf,QC26060080,12308,สีไม่ตรง STD /Color off Standard,Minor,800
51bf1d30,QC26060081,12321,พลาสติกยื่น/scrap plastic,Minor,4
92f6997d,QC26060081,12327,รอยขีด/scratch mark,Minor,2
a55639fa,QC26060082,12339,ไม่เหมือน STD./ not same STD.,Minor,37
eaa76c35,QC26060083,12308,สีไม่ตรง STD /Color off Standard,Minor,1600
41846b38,QC26060085,12308,สีไม่ตรง STD /Color off Standard,Minor,352
